Total Nacional;Comunidades y Ciudades Autónomas;Grupos de usuarios e importe;periodo;Total
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2020;80.532
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2018;44.759
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2016;80.711
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2014;39.448
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2013;37.741
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2012;43.288
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2011;45.130
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2010;45.245
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2009;56.597
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2008;99.579
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2007;100.760
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2006;39.955
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2005;30.609
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2004;30.613
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2003;34.840
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2002;65.246
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2001;47.342
Total Nacional;13 Madrid, Comunidad de;Importe total de la inversión en los servicios de suministro;2000;42.840
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2020;3.170
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2018;13.196
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2016;9.600
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2014;5.354
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2013;9.077
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2012;4.623
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2011;12.552
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2010;4.899
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2009;7.846
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2008;10.604
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2007;19.205
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2006;6.275
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2005;6.024
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2004;23.850
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2003;6.309
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2002;3.752
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2001;4.437
Total Nacional;14 Murcia, Región de;Importe total de la inversión en los servicios de suministro;2000;6.755
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2020;5.704
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2018;8.636
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2016;2.733
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2014;2.426
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2013;1.494
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2012;5.429
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2011;2.712
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2010;3.720
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2009;4.540
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2008;4.206
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2007;8.354
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2006;13.267
Total Nacional;15 Navarra, Comunidad Foral de;Importe total de la inversión en los servicios de suministro;2005;31.244
